"year","zip","emp","ap","qp1"
2004,10001,146955,8484422.65639637,1971855.53844349
2004,10002,17153,476736.073272744,112676.455473396
2004,10003,62876,4023418.05565693,980187.536627548
2004,10004,59019,10551164.8858608,4687909.73984647
2004,10005,38937,5014579.10502603,1822667.21330275
2004,10006,18184,2279563.12534545,695634.124351893
2004,10007,21862,1671228.97297097,405472.864341304
2004,10008,167,7136.2340721786,1571.050652078
2004,10009,7426,309820.72531898,66711.930405012
2004,10010,0,0,0
2004,10011,55241,3089458.5589835,715442.914762199
2004,10012,43276,2357647.60531898,532881.056759905
2004,10013,61925,6228774.13434749,3004001.93637342
2004,10014,30586,2334460.80504015,620360.469826172
2004,10015,36,2433.12077825819,622.397063443043
2004,10016,112291,8178759.19210801,2010713.94542663
2004,10017,145303,20795761.5729922,7483123.81292333
2004,10018,99042,7331499.85733875,1929990.55209742
2004,10019,140184,21000944.3016854,8067371.44990912
2004,10020,36364,5491182.16602312,1746511.41132622
2004,10021,86111,6012476.09680756,1474032.00014824
2004,10022,135311,18050148.5304068,5411431.26810554
2004,10023,40938,2394297.50659314,567537.028732022
2004,10024,22462,871199.03472161,197809.33122386
2004,10025,22740,898748.888608489,211625.040232948
2004,10026,1549,42991.8261907703,9814.04724433072
2004,10027,16125,549069.65457337,130040.831610342
2004,10028,19758,911885.733078621,209686.323573635
2004,10029,23787,1509529.96492191,364343.210009706
2004,10030,1597,43881.5026383129,10367.4285043678
2004,10031,3780,108849.215466337,27425.6254407483
2004,10032,14263,907348.257712875,214701.890232066
2004,10033,6408,227196.260314127,54517.4653595694
2004,10034,3825,140332.970147357,36342.4672408012
2004,10035,9663,410070.571680932,97467.8820682962
2004,10036,148575,13337813.4703185,3870106.34997088
2004,10037,3865,195338.565461925,48390.1168499074
2004,10038,46223,3635691.03662049,969679.56685079
2004,10039,905,27925.0488908498,6615.47846466073
2004,10040,3886,137608.728162005,31968.1201376511
2004,10041,6520,922333.470881497,381485.480742963
2004,10043,0,0,0
2004,10044,1937,117144.915035736,27729.2949757346
2004,10045,0,0,0
2004,10047,0,0,0
2004,10048,1647,366146.404727786,87090.4149016148
2004,10055,2487,606956.345971941,198544.663238331
2004,10069,240,13922.3697961705,3879.94298420542
2004,10072,20,735.332014471014,168.147593752758
2004,10079,0,0,0
2004,10080,0,0,0
2004,10081,0,0,0
2004,10082,0,0,0
2004,10087,0,0,0
2004,10090,0,0,0
2004,10094,0,0,0
2004,10098,0,0,0
2004,10101,0,0,0
2004,10102,0,0,0
2004,10103,7188,811371.116998147,315685.813775699
2004,10104,6276,1264528.88216183,423941.493332745
2004,10105,7250,1907540.33866584,482054.054633372
2004,10106,2744,582559.886884321,271341.277838172
2004,10107,1551,103179.880924733,29471.0028871438
2004,10108,3,138.031606811965,26.3514885731934
2004,10109,0,0,0
2004,10110,2405,208691.241171799,42814.8947674932
2004,10111,3775,633524.920617666,150613.81518927
2004,10112,5929,853507.147226684,230071.082234184
2004,10113,35,1756.76590487956,363.901508867908
2004,10115,1836,89142.0665119563,21817.7777058149
2004,10116,36,3921.35246624901,721.528853789818
2004,10117,16,2751.84830671491,685.138702903027
2004,10118,7138,450118.56014824,108304.618035825
2004,10119,6095,712423.787071385,203206.367050207
2004,10120,907,118723.49468455,16598.9281355334
2004,10121,7676,813235.798522898,228367.01930645
2004,10122,1619,199039.067357275,46332.1910756199
2004,10123,1289,100219.730375011,21806.4842107121
2004,10124,0,0,0
2004,10125,0,0,0
2004,10126,0,0,0
2004,10128,15691,749133.920319422,175286.337490515
2004,10129,84,2861.01875937528,719.019188211419
2004,10150,0,0,0
2004,10151,939,148898.458766434,48224.478921733
2004,10152,1217,206866.714296303,62662.5849942646
2004,10153,2757,630918.632914498,199322.659567634
2004,10154,5222,1105985.77857761,416554.292702727
2004,10155,876,111066.505004853,26502.0685078973
2004,10156,26,996.337234624548,247.202059472338
2004,10158,2383,448764.595568693,144849.113355687
2004,10159,14,400.291659754699,38.8998164651902
2004,10160,0,0,0
2004,10162,186,11597.1646377835,2071.72893496868
2004,10163,58,3395.57752757434,682.629037324628
2004,10164,18,857.050795023384,130.502610076767
2004,10165,4441,283444.140090003,63928.7112785671
2004,10166,8947,1671916.62133945,393412.666404306
2004,10167,2964,646562.63329745,285684.016618724
2004,10168,3261,210831.985910174,54232.6183164211
2004,10169,2640,408576.065828995,108239.366730786
2004,10170,3457,263148.474557487,63522.1454548664
2004,10171,1992,627878.173066267,363271.58280773
2004,10172,6052,2289557.86851143,1614378.77345628
2004,10173,1394,68989.4519174094,16063.1145345451
2004,10174,2960,311823.438450543,72829.2402523604
2004,10175,1539,113195.956248125,26167.028153181
2004,10176,4541,201406.936830495,47082.5810835613
2004,10177,1224,193040.966624901,40626.4663831289
2004,10178,2738,409712.94433601,146082.61398747
2004,10179,0,0,0
2004,10185,11,572.203751875056,104.151121503574
2004,10199,70,1422.98038295244,363.901508867908
2004,10249,0,0,0
2004,10260,0,0,0
2004,10265,0,0,0
2004,10268,0,0,0
2004,10270,0,0,0
2004,10271,3420,402177.673436866,109490.435021618
2004,10272,0,0,0
2004,10274,12,325.001692402718,65.2513050383835
2004,10276,6,55.2126427247861,10.0386623135975
2004,10278,57,2420.57245036619,583.497246977853
2004,10279,1244,129211.387136681,34128.942200653
2004,10280,1108,57842.7722509486,11858.169857937
2004,10281,12712,1945901.83186447,579092.783887762
2004,10282,1774,169066.131354452,32483.8564140122
2004,10285,0,0,0
2004,10286,0,0,0
2004,10292,0,0,0
2004,10301,8084,276880.109769699,61431.5940280597
2004,10302,4323,188708.029003794,43865.1898120533
2004,10303,6189,293659.733826877,68335.6840342364
2004,10304,5106,207279.55428395,45985.8572258008
2004,10305,12191,636175.127468455,143738.586337245
2004,10306,10403,324858.641464749,72889.472226242
2004,10307,1188,45576.7817365217,9446.38123709521
2004,10308,2014,57140.0658889968,12722.7496496956
2004,10309,6673,278599.230690903,64173.403672461
2004,10310,4472,220676.149141445,62363.9347904351
2004,10311,402,22022.3154504544,5742.11484337775
2004,10312,5680,176395.609676167,38294.9870607959
2004,10313,0,0,0
2004,10314,20639,801632.359721169,185193.242361246
2004,10451,14307,911048.759608224,172905.919689403
2004,10452,4754,160589.735863408,36467.9505197212
2004,10453,4038,130096.044253066,30842.535125739
2004,10454,7658,353403.577753464,81521.4669831466
2004,10455,9397,294464.081644754,73826.8323197742
2004,10456,5896,269701.211382688,65507.2909273803
2004,10457,10731,587609.33402806,138217.322064767
2004,10458,11747,433434.303383041,102100.724726021
2004,10459,3743,121965.982611842,27809.6042742434
2004,10460,6466,217975.748979088,52879.9085696639
2004,10461,18031,983758.790745611,228891.539412336
2004,10462,11278,459518.512572135,111214.575273979
2004,10463,8942,334425.486649608,76054.1605206036
2004,10464,1262,40177.2362445955,8473.88582546546
2004,10465,7965,416637.111666814,99351.3860848849
2004,10466,11948,571293.998102886,132015.938420542
2004,10467,22018,1298664.09852643,301592.786720198
2004,10468,7762,269544.357284038,63018.9575063973
2004,10469,7151,266112.389605577,62921.0805488397
2004,10470,2339,108238.111897997,22564.4032153887
2004,10471,7552,303357.081621813,69560.4008364952
2004,10472,3385,122669.943806583,27631.418018177
2004,10473,5505,219490.332155652,51158.2779828819
2004,10474,10978,587182.690879732,132786.40575311
2004,10475,8475,298621.342675373,69325.7471049149
2004,10499,0,0,0
2004,10501,65,3074.34033353922,552.126427247861
2004,10502,1778,78000.4061766523,16219.9686331951
2004,10503,88,4698.09396276361,795.563988352599
2004,10504,7642,1147458.00226066,373848.568387894
2004,10505,489,11578.3421459455,2622.60052942734
2004,10506,1186,60506.7822624195,11111.5443483632
