"","zip","year","total_est","total_large","construction_est","construction_large","manufacturing_est","manufacturing_large","wholesale_est","wholesale_large","retail_est","retail_large","logistics_est","logistics_large","professional_est","professional_large","education_est","education_large","health_care_est","health_care_large","services_est","services_large","government_est","government_large","entertainment_est","entertainment_large"
"1",10001,2004,7370,37,223,0,490,0,1734,1,766,3,100,0,4097,22,105,2,159,9,418,1,39,0,537,0
"2",10001,2005,7312,35,247,0,455,0,1743,1,759,3,85,0,4116,25,103,1,161,7,419,0,22,0,554,1
"3",10001,2006,7415,35,243,1,423,0,1727,2,760,3,87,0,4272,23,104,0,181,7,430,0,26,0,552,1
"4",10001,2007,7549,35,255,0,399,0,1681,1,749,2,84,1,4513,21,108,1,210,8,441,1,11,0,606,2
"5",10001,2008,7472,37,243,0,352,0,1666,0,726,2,88,1,4491,25,106,0,216,8,440,2,3,0,622,2
"6",10001,2009,7305,29,239,0,306,0,1608,0,700,1,80,0,4439,20,113,1,235,7,442,0,6,0,625,2
"7",10001,2010,7241,33,233,0,289,0,1579,0,718,3,74,0,4376,22,120,1,246,7,435,0,6,0,631,2
"8",10001,2011,7227,34,226,0,260,0,1556,0,700,3,70,0,4365,23,123,1,261,7,454,0,6,0,672,3
"9",10001,2012,7235,34,234,1,243,0,1456,0,717,3,80,0,4498,19,119,1,265,9,493,0,4,0,643,3
"10",10001,2013,7273,39,244,0,234,0,1411,0,726,4,85,0,4531,30,127,1,266,4,518,0,10,0,661,3
"11",10001,2014,7369,35,250,0,221,0,1375,0,701,4,85,0,4581,28,133,0,314,4,539,0,14,0,703,3
"12",10001,2015,7373,33,265,0,232,0,1325,0,696,3,82,0,4535,26,132,0,336,5,531,0,21,0,726,3
"13",10001,2016,7296,28,256,0,216,0,1265,0,669,3,71,0,4504,20,139,0,345,4,525,0,16,0,756,3
"14",10002,2004,2551,2,132,0,120,0,284,0,515,0,41,0,683,0,29,0,155,2,232,0,20,0,468,0
"15",10002,2005,2682,2,145,0,116,0,281,0,522,0,43,0,738,0,22,0,165,2,237,0,14,0,551,0
"16",10002,2006,2686,1,145,0,104,0,261,0,528,0,41,0,761,0,23,0,166,1,232,0,18,0,570,0
"17",10002,2007,2685,2,148,0,107,0,253,0,514,1,43,0,850,0,26,0,175,1,242,0,2,0,521,0
