"","year","zipcode","total_households","n1_1","n1_2","n1_3","n1_4","n1_5","n1_6","n1_7","total_income","wage_income"
"1",2006,10001,11962,2066,2205,2667,1637,944,1369,1074,1628569.27131247,985963.286342855
"2",2006,10002,44024,15322,12407,8610,3569,1645,1809,662,1737582.78661982,1379312.54922244
"3",2006,10003,28400,3544,3479,5537,4292,2783,4823,3942,5642214.81618949,3347888.29664255
"4",2006,10004,1640,215,135,253,183,152,289,413,890602.326468521,465847.012889091
"5",2006,10005,3476,322,308,630,424,286,654,852,3712641.49913274,642903.444194949
"6",2006,10006,1946,188,174,340,271,193,460,320,378549.196759125,225596.368530445
"7",2006,10007,2768,343,240,313,261,185,513,913,948893.753080071,680871.233774544
"8",2006,10008,591,60,88,180,123,68,46,26,45554.7634178,30965.1526385846
"9",2006,10009,30469,5016,6204,7721,4711,2603,3104,1110,2182448.93043363,1663138.03077177
"10",2006,10010,16470,1708,1807,3072,2488,1725,3179,2491,3128884.2359241,1965073.25322145
"11",2006,10011,29060,3502,3528,5212,4306,3039,5162,4311,5632978.29573808,3438596.90017444
"12",2006,10012,13273,2078,1922,2584,1835,1221,1964,1669,2238321.88421314,1460206.17404655
"13",2006,10013,15066,4127,2808,2355,1344,795,1409,2228,4109300.4367922,2434406.30011492
"14",2006,10014,19567,2238,2203,3448,2941,2065,3650,3022,3995487.59912199,2509255.50645116
"15",2006,10016,30845,3284,3349,5975,4932,3207,5615,4483,6241108.4037733,3697951.95145963
"16",2006,10017,15386,3706,2123,1987,1725,1226,2258,2361,4360760.47346038,1766328.16448597
"17",2006,10018,4262,764,653,843,488,291,479,744,2374471.20553098,1085787.31032533
"18",2006,10019,23780,3173,3275,4517,3419,2172,3841,3383,5905795.43449382,2935962.52878178
"19",2006,10020,1075,127,63,78,77,49,219,462,594877.300177752,155783.981646067
"20",2006,10021,52522,5715,4742,8393,7507,5288,9106,11771,21993669.5326758,9799854.14069034
"21",2006,10022,21109,2383,1774,2917,2617,1946,4014,5458,9967953.87484767,3816631.12799802
"22",2006,10023,34137,4028,3584,5167,4564,3159,6417,7218,10293568.2625075,5806627.46682651
"23",2006,10024,32228,4405,3513,5217,3972,2784,5464,6873,9672831.99710471,5438147.20605845
"24",2006,10025,47019,7984,8026,10250,6191,3877,6053,4638,5772653.62581787,3763458.82180976
"25",2006,10026,14930,3232,4183,4193,1665,757,697,203,675381.758979786,588536.598192716
"26",2006,10027,24251,5865,6619,6598,2428,1071,1143,527,1156667.25838204,931579.980146335
"27",2006,10028,25925,3138,2601,4236,3885,2659,4283,5123,9428325.21679468,4600322.14111529
"28",2006,10029,29352,7019,8780,8917,2700,892,685,359,1392230.27455335,1101994.72305734
"29",2006,10030,10780,2520,3310,3343,981,322,237,67,383749.442425695,346998.531495184
"30",2006,10031,25784,6493,8683,7338,2025,674,457,114,872746.542851474,754456.532335166
"31",2006,10032,28102,7136,9578,7932,2096,741,511,108,905778.625601256,784017.865546691
"32",2006,10033,29660,7151,8730,9320,2226,921,1050,262,1114471.55032698,936944.827755777
"33",2006,10034,19717,4610,6131,5559,1909,781,627,100,730398.78265636,627102.833407466
"34",2006,10035,12152,3201,3770,3381,1096,400,263,41,406798.417340333,367725.443287173
"35",2006,10036,17125,2862,2758,3651,2307,1383,2174,1990,4079047.77542061,1843498.25821669
"36",2006,10037,8502,1506,2118,2778,1319,465,276,40,365672.621913935,304488.904020503
"37",2006,10038,9659,2137,1856,2115,1181,655,1062,653,930246.704409078,648986.661712207
"38",2006,10039,10669,2399,3360,3349,1005,340,204,12,361878.547130751,306711.030249266
"39",2006,10040,22111,5064,6899,6761,1874,734,660,119,815430.970615518,692151.169773883
"40",2006,10044,4001,705,621,1016,581,373,519,186,317290.232263238,251209.606569385
"41",2006,10055,NA,NA,0,0,12,NA,NA,12,NA,NA
"42",2006,10065,1869,283,174,234,163,115,236,664,1877809.53320822,533882.874518623
